"category","scheme","ica","bin","project_id","mcm_id","country_of_registration","currency","product_code","product_type","processor","processor_msp_bid","client","client_msp_bid","bin_live_date","product_status","product_go_live_date","gsi_pcr","processing_ica_cib","endpoint","ehi","independent_emoney","rpp_pif","co_brands","mastercom_rid","dcc","invoice_company","invoice_contact","project_manger","comments","bin_closure_date","number_ica","number_bin"
"ATM - Acquiring","Visa",,409023,"PUK305529697",,"Europe","EUR","ACQ - Acquirer Only","Acquiring Only","ACI Worldwide","10086706","Brinks Inc","10085330",,"Delivery",,,,,,,,,,,,,,,,,409023
"ATM - Acquiring","Mastercard",26380,270270,"CIS-2022-03675","96826","Estonia","EUR","ACQ - Acquirer Only","Acquiring Only","ACI Worldwide","166308","Brinks Inc",,,"Delivery",,"40125",,,,,,,,,,,,"Mark Milsom","BIN yet to be requested. Original project CIS-2021-13732 was cancelled by MC. New project initiated.",26380,270270
"ATM - Acquiring","Mastercard",26379,270248,"CIS-2022-03675","96840","France","EUR","ACQ - Acquirer Only","Acquiring Only","ACI Worldwide","166308","Brinks Inc",,,"Delivery",,"40125",,,,,,,,,,,,"Mark Milsom","BIN yet to be requested. Original project CIS-2021-13732 was cancelled by MC. New project initiated.",26379,270248
"ATM - Acquiring","Mastercard",26378,270264,"CIS-2022-03675","96836","Ireland","EUR","ACQ - Acquirer Only","Acquiring Only","ACI Worldwide","166308","Brinks Inc",,,"Delivery",,"40125",,,,,,,,,,,,"Mark Milsom","BIN yet to be requested. Original project CIS-2021-13732 was cancelled by MC. New project initiated.",26378,270264
"ATM - Acquiring","Mastercard",26377,270272,"CIS-2022-03675","96831","Lithuania","EUR","ACQ - Acquirer Only","Acquiring Only","ACI Worldwide","166308","Brinks Inc",,,"Delivery",,"40125",,,,,,,,,,,,"Mark Milsom","BIN yet to be requested. Original project CIS-2021-13732 was cancelled by MC. New project initiated.",26377,270272
"ATM - Acquiring","Mastercard",26376,270275,"CIS-2022-03675","96836","Latvia","EUR","ACQ - Acquirer Only","Acquiring Only","ACI Worldwide","166308","Brinks Inc",,,"Delivery",,"40125",,,,,,,,,,,,"Mark Milsom","BIN yet to be requested. Original project CIS-2021-13732 was cancelled by MC. New project initiated.",26376,270275
"Issuing","Mastercard",19676,546048,"CIS-2017-15675 & CIS-2018-06697",,"United Kingdom","MFX-14","MPG - Prepaid MasterCard General Spend Card","Consumer Prepaid","GPS","184220","An Other","251539","02/03/2018","Migrated","09/05/2018","20293",,"12181","0081062","N","N","RPP-26648",,"Hosted",,"An Other",,"Doerte Dye","BIN migrated to Monavate 25/2/21 under MCM #67351",19676,546048
"Issuing","Mastercard",20520,526155,"CIS-2018-14577","15603","Spain","EUR-NOK-PLN-SEK-CZK-DKK","MRG - Prepaid MasterCard Card","Consumer Prepaid","Marqeta","255249","Aplazame ","255249","live","Migrated","tbc","20651",,"n/a","0088710","N","N","tbc",,"tbc",,"Aplazame",,"James Miller","BIN migrated to TPL under CIS 2020-13904 15/12/20",20520,526155
"ATM - Acquiring","Mastercard",21116,271100,"CIS-2020-12313 ","58374","France","EUR","ACQ - Acquirer Only","Acquiring Only","Diebold NixDorf",,"Attijariwaffa",,"29/03/2021","Live","31/03/2021","29311",,,"91100",,,,,,,,,"Mark Milsom","Atti going live in early Feb '21.
1/3 Atti likely to be live toward end of March '21
6/ 4 Diebold live date for ATMs to be 26/4 for France.",21116,271100
"ATM - Acquiring","Mastercard",21117,271014,"CIS-2020-12313 ","58377","Belgium","EUR","ACQ - Acquirer Only","Acquiring Only","Diebold NixDorf",,"Attijariwaffa",,"29/03/2021","Live","31/03/2021","28311",,,"91101",,,,,,,,,"Mark Milsom","Atti going live in early Feb '21.
1/3 Atti likely to be live toward end of March '21
17/3 Diebold advise live date to be 29/3
31/3 First ATM live in Belgium",21117,271014
"ATM - Acquiring","Visa",,481073,"305518809",,"Belgium","EUR","ACQ - Acquirer Only","Acquiring Only","Diebold NixDorf",,"Attijariwaffa",,"14/09/2020","Live","31/03/2021","7291","104982 / 104983","481073",,,,,,,,,,"Mark Milsom","Atti going live in early Feb '21.
1/3 LO advised BINs now live on VISAnet. DN advise Atti likely to be live on 29/3
31/3 First ATM live in Belgium",,481073
"ATM - Acquiring","Visa",,481074,"305518809",,"France","EUR","ACQ - Acquirer Only","Acquiring Only","Diebold NixDorf",,"Attijariwaffa",,"14/09/2020","Live","31/03/2021","7291","104981 / 104984","481074",,,,,,,,,,"Mark Milsom","Atti going live in early Feb '21.
1/3 LO advised BINs now live on VISAnet. DN advise Atti likely to be live on 29/3
6/ 4 Diebold live date for ATMs to be 26/4 for France.
",,481074
"ATM - Acquiring","Mastercard",20045,270379,"CIS-2019-13737","38623","Malta","EUR","ACQ - Acquirer Only","Acquiring Only","Chipcard","208395","Bancomat",,"27/12/2019","Live","tbc","20257",,"200257","0075616","n/a","n/a","n/a",,"Hosted",,"Bancomat",,"James Miller","BIN to be terminated or migrated. Nick D has advised that 6 months extension agreed during which time Bancomat to migrate.
15/11 810 BIN bloking form submitted to MC. Once actioned. Form 419 ICA delete to follow.",20045,270379
"ATM - Acquiring","Mastercard",21578,270288,"CIS-2019-13737","35480","United Kingdom","GBP","ACQ - Acquirer Only","Acquiring Only","Chipcard","208395","Bancomat",,"27/12/2019","Live","tbc","20257",,"200257","0075616","n/a","n/a","n/a",,"Hosted",,"Bancomat",,"James Miller","BIN to be terminated or migrated. Nick D has advised that 6 months extension agreed during which time Bancomat to migrate
15/11 810 BIN bloking form submitted to MC. Once actioned. Form 419 ICA delete to follow.",21578,270288
"ATM - Acquiring","Mastercard",21445,270429,"CIS-2019-13737","38620","Spain","EUR","ACQ - Acquirer Only","Acquiring Only","Chipcard","208395","Bancomat",,"27/12/2019","Live","tbc","20257",,"200257","0075616","n/a","n/a","n/a",,"Hosted",,"Bancomat",,"James Miller","BIN to be terminated or migrated. Nick D has advised that 6 months extension agreed during which time Bancomat to migrate
15/11 810 BIN bloking form submitted to MC. Once actioned. Form 419 ICA delete to follow.",21445,270429
"ATM - Acquiring","UPI",,40830724,"tbc",,"Spain","tbc","ACQ - Acquirer Only","Acquiring Only","Chipcard",,"Bancomat",,"tbc","Unused","tbc",,,"tbc","tbc","n/a","n/a","n/a",,"tbc",,"Bancomat",,"James Miller","BIN to be terminated or migrated. Nick D has advised that 6 months extension agreed during which time Bancomat to migrate.
4/3 UPI advise that these BIN/IINs never went into production. Status marked as unused.",,40830724
"ATM - Acquiring","UPI",,40830352,"tbc",,"Iceland","tbc","ACQ - Acquirer Only","Acquiring Only","Chipcard",,"Bancomat",,"tbc","Unused","tbc",,,"tbc","tbc","n/a","n/a","n/a",,"tbc",,"Bancomat",,"James Miller","BIN to be terminated or migrated. Nick D has advised that 6 months extension agreed during which time Bancomat to migrate.
4/3 UPI advise that these BIN/IINs never went into production. Status marked as unused.",,40830352
"ATM - Acquiring","UPI",,40830470,"tbc",,"Malta","tbc","ACQ - Acquirer Only","Acquiring Only","Chipcard",,"Bancomat",,"tbc","Unused","tbc",,,"tbc","tbc","n/a","n/a","n/a",,"tbc",,"Bancomat",,"James Miller","BIN to be terminated or migrated. Nick D has advised that 6 months extension agreed during which time Bancomat to migrate.
4/3 UPI advise that these BIN/IINs never went into production. Status marked as unused.",,40830470
"ATM - Acquiring","UPI",,40830826,"tbc",,"UK","tbc","ACQ - Acquirer Only","Acquiring Only","Chipcard",,"Bancomat",,"tbc","Unused","tbc",,,"tbc","tbc","n/a","n/a","n/a",,"tbc",,"Bancomat",,"James Miller","BIN to be terminated or migrated. Nick D has advised that 6 months extension agreed during which time Bancomat to migrate.
4/3 UPI advise that these BIN/IINs never went into production. Live status marked as unused.",,40830826
"ATM - Acquiring","Visa",,487169,"PUK009462019 ",,"Netherlands","EUR","ACQ - Acquirer Only","Acquiring Only","Chipcard","10056443","Bancomat",,"tbc","Live","tbc","8879",,"487170","n/a","n/a","n/a","n/a",,"832932",,"Bancomat",,"James Miller","BIN to be terminated or migrated. Confirmation awaited from Legal / ND on preferred approach.
30/11 Status of project queried with VISA Project Manager. Details awaited.
1/12 DCC approved. Go live letter issued. MPLS VEAS project ongoing",,487169
"ATM - Acquiring","Visa",,487170,"PUK009462019 ",,"United Kingdom","GBP","ACQ - Acquirer Only","Acquiring Only","Chipcard","10056443","Bancomat",,"tbc","Live","tbc","8879",,"487170","n/a","n/a","n/a","n/a",,"832932",,"Bancomat",,"James Miller","BIN to be terminated or migrated. Confirmation awaited from Legal / ND on preferred approach.
30/11 Status of project queried with VISA Project Manager. Details awaited.
1/12 DCC approved. Go live letter issued. MPLS VEAS project ongoing for Chipcard",,487170
"ATM - Acquiring","Mastercard",14121,518194,"n/a",,"United Kingdom","GBP","ACQ - Acquirer Only","Acquiring Only","Vocalink","242211","BankMachine (Cardtronics) - UK",,"?","Live","?","27214",,"n/a","?",,,,,"Hosted","Yes",,,"Doerte Dye","United Kingdom",14121,518194
"ATM - Acquiring","Visa",,470383,"n/a",,"United Kingdom","GBP","ACQ - Acquirer Only","Acquiring Only","Vocalink",,"BankMachine (Cardtronics) - UK",,"?","Live","?","2053",,"n/a",,,,,," ","Yes",,,"Doerte Dye","United Kingdom",,470383
"Issuing","Visa",,435551,"PUK008412019",,"Europe","SEK","Visa Classic. – F","Consumer Prepaid","Enfuce","245478","Bynk",,"15/07/2019","Migrated","tbc","5467",,"435551","tbc","N","N","tbc",,"818743",,"Bynk",,"Catherine Gunaseelan","BIN migrated to TPL 2/11/20",,435551
"Issuing","Visa",,439595,"PUK009512019 ",,"Europe","EUR","Visa Classic. – F","Consumer Prepaid","Yalamanchili",,"CardBlue",,"tbc","Delivery","tbc",,,"tbc","tbc","N","Y",,"Lira-pay",,,"CardBlue",,"Jane Oluwole",,,439595
"Issuing","Visa",,439560,"PUK009512019 ",,"Europe","GBP","Visa Classic. – F","Consumer Prepaid","Yalamanchili",,"CardBlue",,"tbc","Delivery","tbc",,,"tbc","tbc","N","Y",,"Lira-pay",,,"CardBlue",,"Jane Oluwole",,,439560
"ATM - Acquiring","JCB",,152651,"n/a",,"tbc","tbc","ACQ - Acquirer Only","Acquiring Only","Vocalink",,"Cardtronics",,"tbc","Delivery","tbc",,,"n/a",,,,,,,,,,,"17/12 JCB have approached CFE about providing sponsorship for Cardtronics.
18/12 MM querying this existing BIN implmentation with JCB Bin team as not clear whether this live. Having an entry in this file whilst being courted by JCB is inconsistent.
13/7/2",,152651
"ATM - Acquiring","Pulse",,,"n/a",,"tbc","tbc","ACQ - Acquirer Only","Acquiring Only","Vocalink",,"Cardtronics - Omnicash",,"?","Live","01/10/2020",,,"n/a",,,,,,,,,,,"16/12 Cardtronics have confirmed Discover / Pulse is enabled on its Hyosung estate. The enablement is via software changes at the ATM and due to Covid restrictions only a very limited number of these have carried out. Check with VL on live dates. This is ",,
"ATM - Acquiring","UPI",,33220826,"n/a",,"tbc","tbc","ACQ - Acquirer Only","Acquiring Only","Vocalink",,"Cardtronics",,"?","Live","?",,,"n/a",,,,,,,,,,"Doerte Dye","Is this actually live?",,33220826
"ATM - Acquiring","Mastercard",19512,230506,"tbc","39044","United Kingdom","GBP","ACQ - Acquirer Only","Acquiring Only","Vocalink","242211","Cardtronics - Omnicash",,"?","Live","01/10/2020","27214",,,,,,,,,"Yes","Vocalink",,,"16/12 Cardtronics have confirmed Mastercard is enabled on its Hyosung estate. The enablement is via software changes at the ATM and due to Covid restrictions only a very limited number of these have carried out. Check with VL on live dates. This is only O",19512,230506
"ATM - Acquiring","Mastercard",17201,518329,"n/a",,"Ireland","EUR","ACQ - Acquirer Only","Acquiring Only","Vocalink","242211","Cardtronics - Ireland",,"?","Live","?","27214",,"n/a","?",,,,,"Hosted","Yes",,,"Doerte Dye","Ireland",17201,518329
"ATM - Acquiring","Visa",,417180,"n/a",,"Europe","GBP-EUR","ACQ - Acquirer Only","Acquiring Only","Vocalink",,"Cardtronics - Ireland",,"?","Live","?","2053",,"n/a",,,,,,"817395","Yes",,,"Doerte Dye","Ireland",,417180
"ATM - Acquiring","Visa",,417177,"PUK005232017",,"United Kingdom","GBP","ACQ - Acquirer Only","Acquiring Only","Vocalink",,"Cardtronics - UK",,"06/01/2020","Live","?","2053",,"n/a",,,,,,"817395","Yes",,,"Doerte Dye","United Kingdom",,417177
"Acquiring","Visa",,439755,"n/a",,"United Kingdom","MFX-14","Visa Direct","Visa Direct","CashFlows","10067784","CashFlows","10067784","n/a","Live","n/a",,,"n/a","n/a","N","N","n/a",,,,,,,,,439755
"ATM - Acquiring","Discover",,367247,"n/a",,"United Kingdom","tbc","ACQ - Acquirer Only","Acquiring Only","CashFlows",,"CashFlows",,"n/a","Unused","n/a",,,"n/a","n/a","n/a","n/a","n/a",,,,,,,"What is this about? Check Lookpa. Any costs for these BINs?",,367247
