card_type,card_code,card_name,pricing_card_type,card_scheme,credit_debit,consumer_commercial
0,"INV","Invalid",-1,"INV","Invalid","Invalid"
1,"VPC","Visa Purchasing Credit",8,"VI","Credit","Commercial"
2,"MSC","Mastercard Credit",4,"MC","Credit","Consumer"
4,"DEL","Visa Debit(Delta)",1,"VI","Debit","Consumer"
8,"VIS","Visa Credit",0,"VI","Credit","Consumer"
16,"AMX","American Express",7,"AMX","Other Scheme","Other Scheme"
32,"DIN","Diners",-1,"DIN","Other Scheme","Other Scheme"
64,"JCB","JCB",-1,"JCB","Other Scheme","Other Scheme"
128,"SWI","Maestro UK (Switch)",-1,"MC","Debit","Consumer"
256,"ELC","Visa Electron",11,"VI","Debit","Consumer"
512,"SOL","Solo",-1,"MC","Other Scheme","Other Scheme"
1024,"APC","American Express Purchasing",12,"AMX","Other Scheme","Other Scheme"
2048,"LAS","Laser",-1,"VI","Other Scheme","Other Scheme"
4096,"MAE","Maestro",9,"MC","Debit","Consumer"
8192,"MSD","Mastercard Debit",5,"MC","Debit","Consumer"
16384,"CBL","Carte Blanche",-1,"DIN","Other Scheme","Other Scheme"
32768,"WAL","VoicePay Wallet",-1,"VC","?","?"
65536,"DIS","Discover",-1,"DIS","Other Scheme","Other Scheme"
131072,"VCC","Visa Corporate Credit",2,"VI","Credit","Commercial"
262144,"VCD","Visa Corporate Debit",3,"VI","Debit","Commercial"
524288,"VPP","Visa Prepaid",10,"VI","Debit","Consumer"
1048576,"MCC","Mastercard Corporate Credit",6,"MC","Credit","Commercial"
2097152,"MPP","Mastercard Prepaid",13,"MC","Debit","Consumer"
4194304,"MCD","Mastercard Corporate Debit",14,"MC","Debit","Commercial"
8388608,"VPD","Visa Purchasing Debit",8,"VI","Debit","Commercial"
