scheme,event_id,visa_fee_schedule,cf_fee_id,description,billing_cycle,uom,recovery,product,rate_currency,rate,old_invoice_type,old_service_code_id_or_vi_billing_level,old_service_code_description_or_vi_billing_level,comment_or_actions,edit_table,new_fee_guide_type,new_section_name_level_1,new_subsection_name_level_2
VI,3F3528600,Processing Business Unit,CLR-CURR,CURRENCY CONVERSION RATE UPDATE,Monthly,Per Tx (PPT) ,A,ALL,EUR,0,Processing Business Unit,Clearing And Settlement **,Clearing And Settlement **,,,Processing Fee Schedule,Clearing and Settlement,0
VI,3F3524100,Processing Business Unit,CLR-FEE COLLECTION,FEE COLLECTION,Monthly,Per Tx (PPT) ,A,ALL,EUR,0,Processing Business Unit,Clearing And Settlement **,N/A,,,Processing Fee Schedule,Clearing and Settlement,0
VI,3F3624100,Processing Business Unit,CLR-FEE COLLECTION,FEE COLLECTION,Monthly,Per Tx (PPT) ,A,ALL,EUR,0,Processing Business Unit,Clearing And Settlement **,N/A,,,Processing Fee Schedule,Clearing and Settlement,0
VI,3F3524300,Processing Business Unit,CLR-FND DISB,FUNDS DISBURSEMENT,Monthly,Per Tx (PPT) ,A,ALL,EUR,0,Processing Business Unit,Clearing And Settlement **,N/A,,,Processing Fee Schedule,Clearing and Settlement,0
VI,3F3624300,Processing Business Unit,CLR-FND DISB,FUNDS DISBURSEMENT,Monthly,Per Tx (PPT) ,A,ALL,EUR,0,Processing Business Unit,Clearing And Settlement **,N/A,,,Processing Fee Schedule,Clearing and Settlement,0
VI,3F3527400,Processing Business Unit,CLR-RP,OTHER (GENERAL DELIVERY REPORTS),Monthly,Per Tx (PPT) ,TO REVIEW,ALL,EUR,0,Processing Business Unit,Clearing And Settlement **,N/A,Investigate which program and passthrough,,Processing Fee Schedule,Clearing and Settlement,0
VI,3C2163488,Non-Regulated Business Unit,ACCESS SERVER,Visa Extended Access Server (VEAS) *Fixed fee shared with number of users,Monthly,Fixed,B,,EUR,10.04690425,Non-Regulated Business Unit,8.31 Visa Extended Access Server (VEAS) **,Visa Extended Access Server (VEAS) **,,SCHEME,Processing Fee Schedule,Visa Extended Access Server (VEAS),Mandatory Service Component
VI,3M6164220,Processing Business Unit,AVS,Address Verification Service (AVS),Monthly,Vol Tier (PPT),B,ALL,EUR,6600,Processing Business Unit,Optional Services,Address Verification Service (AVS),Formally billed annually,SCHEME,General Fee Schedule,Issuer and Acquirer Optional Service Elements,Address Verification Service (AVS)
VI,3Z9999046,Scheme Business Unit,GFIS,Global Fraud Information Service (GFIS),Annual,Fixed,B,ALL,EUR,2000,Scheme Business Unit,Mandatory Service Components **,Global Fraud Information Service (GFIS) **,,SCHEME,General Fee Schedule,Mandatory Service Components,Global Fraud Information Service (GFIS)
VI,3F3511900,Processing Business Unit,REVERSAL,CASH ORIGINAL REVERSAL - DOMESTIC,Monthly,Per Tx (PPT) ,B,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3518500,Processing Business Unit,REVERSAL,CASH ORIGINAL REVERSAL - DOMESTIC,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3618500,Processing Business Unit,REVERSAL,CASH ORIGINAL REVERSAL - DOMESTIC,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3514500,Processing Business Unit,REVERSAL,CASH ORIGINAL REVERSAL - INTERNATIONAL,Monthly,Per Tx (PPT) ,B,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3521100,Processing Business Unit,REVERSAL,CASH ORIGINAL REVERSAL - INTERNATIONAL,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3510220,Processing Business Unit,REVERSAL,CASH ORIGINAL REVERSAL - INTRA REGIONAL,Monthly,Per Tx (PPT) ,B,ALL,EUR,-0.13557,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
VI,3F3516790,Processing Business Unit,REVERSAL,CASH ORIGINAL REVERSAL - INTRA REGIONAL,Monthly,Per Tx (PPT) ,B,ALL,EUR,0.27115,Processing Business Unit,Clearing And Settlement **,Reversals **,,,Processing Fee Schedule,Clearing and Settlement,Reversals
