scheme,line_id_event_id,service_code,service_code_description,cf_fee_id_,description,billing_cycle,uom,recovery,product,rate_currency,rate,invoice_type,comment_or_actions,edit_table,2022_recovery
MC,2PN2201,A8,Anti-Money Laundering,AML ADMIN,AML ComplianceAnnual Admin,0,Fixed,TO REVIEW,ALL, USD ,300,Stand-Alone,,,Not in use
MC,2A8000V,A8,Anti-Money Laundering,AML ADMIN Adjust,IMPLM-PROJ,Annual,Fixed,TO REVIEW,ALL, USD ,-150,Stand-Alone,Adjustment of 2PN2201,,Scheme B~
MC,TAE49405NLD,AE,Acquirer Assessment,ACQ ADF,ACQ Acceptance Development Fee POS Netherland Dom,Quarterly,Per Tx (%) ,B,ACQ, EUR ,0.0001,Scheme,Coverred under2L32000&2L322000&2L32000S&2L32200S,SCHEME,Not in use
MC,TADMCMSCS,AE,Acquirer Assessment,ACQ VOL,Acq Debit MC and Maestro/Cirrus Volume Fee,0,Per Tx (%) ,A,ACQ&ATM, EUR ,0.0001,,,,Not in use
MC,2AE9091,AE,Acquirer Assessment,REPRT TRX Adjust,Acq Reported Transaction Fee Adjustment - Central Acq - Intra,Quarterly,Per Tx (PPT) ,A,ACQ, EUR ,-0.0008,Scheme,Adjustment of TAEINTRA2  - from previous or specified Quarter fee,SCHEME,Scheme A~
MC,TAEINTRA2,AE,Acquirer Assessment,REPRT TRX,Acq Reported Transaction Fee Dom&Intra,0,Per Tx (PPT) ,A,ACQ, EUR ,0.002,Scheme,,SCHEME,Scheme B~
MC,TAEINTER,AE,Acquirer Assessment,REPRT TRX,Acq Reported Transaction Fee Inter,0,Per Tx (PPT) ,A,ACQ, EUR ,0.102,Scheme,,SCHEME,Scheme B~
MC,TCC39675,AE,Acquirer Assessment,ACQ VOL,ACQ Volume,0,Vol Tier (%),A,ACQ, EUR ,0.0002,Scheme,,SCHEME,Scheme B~
MC,TCC39715,AE,Acquirer Assessment,MSI ACQ VOL,Acquirer Maestro/Cirrus Volume Fee Tier,Quarterly,Vol Tier (%),A,ACQ, EUR ,0.0003,Scheme,Coverred under TCC39675,SCHEME,Scheme B~
MC,2AE000S,AE,Acquirer Assessment,ACQ VOL Adjust,Adjustment for Service Code AE,Quarterly,Vol Tier (%),A,ACQ, EUR ,0.09,,Adjustment of TCC39675 - from previous or specified Quarter fee,SCHEME,Adj
MC,2AE9000,AE,Acquirer Assessment,ACQ ADF,Central Acquirer Acceptance Development Fee Germany,Quarterly,Per Tx (%) ,B,ACQ, EUR ,0.0002,Scheme,Manual TAE49405DEU,SCHEME,Scheme A~
