scheme,billing_line,description,recovery_2020,recovery_2021,recovery_2023,last_seen,is_acquiring
VI,3J4299590,ACQUIRER AUTHORISATION DOMESTIC NON VISA CASH,A,Not included,Not included,2021-12-01,N
VI,3J4299580,ACQUIRER AUTHORISATIONINTRA VISA CASH,A,Scheme A,Not included,2023-01-01,N
VI,3J4299570,ACQUIRER AUTHORISATION INTER VISA CASH,A,Not included,Not included,2023-01-01,N
VI,3J4299560,ACQUIRER AUTHORISATION DOMESTIC VISA CASH,A,Not included,Not included,2023-01-01,N
VI,3J4217500,DOMESTIC CHARGEBACK ACQUIRER,Non-Sale,Not included,Not included,2023-01-01,N
VI,3J4260460,CASH WITHDRAWAL - DOMESTIC,A,Not included,Not included,2023-01-01,N
VI,3J4274100,CASH WITHDRAWAL - INTRA REGIONAL,A,Not included,Not included,2023-01-01,N
VI,3J4275220,FINANCIAL REVERSAL - INTRA REGIONAL,B,Not included,Not included,2023-01-01,N
VI,3J4260700,FINANCIAL REVERSAL - DOMESTIC,Non Sales,Not included,D,2020-10-31,Y
VI,3J4274103,INTRA-REGIONAL ATM - CASH BASE - VPAY ONLY,A,Not included,Not included,2023-01-01,N
VI,3J4289401,INTRA REGIONAL ATM - CASH BASE,A,Not included,A,2023-01-01,N
VI,3CSF02515,ISSUER CARD SERVICE FEE - DOMESTIC AND INTRA REGIONAL - CONSUMER IMMEDIATE DEBIT VOLUME FEE,A,Not included,Not included,2023-01-01,N
VI,3J4299581,ACQUIRER AUTHORISATION NON EEA INTRA VISA CASH,A,Not included,Not included,2023-01-01,N
VI,3F3524100,FEE COLLECTION,A,Scheme B,C,2023-01-01,Y
VI,3F3516730,CASH ORIGINAL - INTRA REGIONAL,A,Not included,Not included,2023-01-01,N
VI,3F3516760,CASH CHARGEBACK - INTRA REGIONAL,Non-Sale,Not included,Not included,2021-12-01,N
VI,3J4202200,FEE COLLECTION - DOMESTIC,A,Not included,Not included,2020-02-29,N
VI,3J4288200,INTER REGIONAL CASH WITHDRAWAL - INTERNATIONAL,A,Not included,Not included,2019-07-31,N
VI,3J4288201,INTER REGIONAL CASH WITHDRAWAL WITHOUT ACCESS FEE ,A,Not included,Not included,2023-01-01,N
