product_id,consumer_or_commercial,debit_or_credit,is_maestro
ACS,,DEBIT,
BPD,COMMERCIAL,DEBIT,
CIR,,DEBIT,TRUE
DCC,BOTH,,
DOB,,DEBIT,
DSV,BOTH,,
DWF,,DEBIT,
JCB,BOTH,,
MAB,COMMERCIAL,,
MAC,COMMERCIAL,,
MAP,COMMERCIAL,,
MAQ,COMMERCIAL,DEBIT,
MBA,COMMERCIAL,,
MBB,,DEBIT,
MBC,COMMERCIAL,DEBIT,
MBD,COMMERCIAL,DEBIT,
MBE,COMMERCIAL,,
MBF,COMMERCIAL,DEBIT,
MBG,COMMERCIAL,,
MBH,COMMERCIAL,,
MBI,COMMERCIAL,,
MBJ,COMMERCIAL,,
MBM,COMMERCIAL,DEBIT,
MBP,COMMERCIAL,DEBIT,
MBS,COMMERCIAL,,
MCB,COMMERCIAL,DEBIT,
MCC,,DEBIT,
MCF,COMMERCIAL,,
MCI,BOTH,DEBIT,
MCO,COMMERCIAL,,
MCP,COMMERCIAL,,
MDB,COMMERCIAL,DEBIT,
MDG,,DEBIT,
MDH,,DEBIT,
MDJ,,DEBIT,
MDO,,DEBIT,
MDP,,DEBIT,
MDS,,DEBIT,
MDT,COMMERCIAL,DEBIT,
MDU,,DEBIT,
MDW,,DEBIT,
MEB,COMMERCIAL,,
MEO,COMMERCIAL,,
MEP,,DEBIT,
MES,COMMERCIAL,,
MET,,DEBIT,
MGF,COMMERCIAL,,
MGP,COMMERCIAL,DEBIT,
MGS,,DEBIT,
MHA,,DEBIT,
MHB,,DEBIT,
MHH,,DEBIT,
MIK,,DEBIT,
MIO,COMMERCIAL,,
MIP,,DEBIT,
MIS,,DEBIT,
MIU,,DEBIT,
MKA,BOTH,DEBIT,
MKB,BOTH,DEBIT,
MKC,,DEBIT,
MKD,,DEBIT,
MKH,,DEBIT,
MLA,COMMERCIAL,,
MLC,COMMERCIAL,,
MLD,COMMERCIAL,,
MLF,COMMERCIAL,,
MLL,COMMERCIAL,,
MNF,COMMERCIAL,,
MOC,,DEBIT,TRUE
MPA,,DEBIT,
MPB,COMMERCIAL,,
MPC,COMMERCIAL,,
MPD,,DEBIT,
MPF,,DEBIT,
MPG,,DEBIT,
MPJ,,DEBIT,
MPM,,DEBIT,
MPN,,DEBIT,
MPO,,DEBIT,
MPP,,DEBIT,
MPQ,,DEBIT,
MPR,,DEBIT,
MPT,,DEBIT,
MPV,,DEBIT,
MPW,COMMERCIAL,DEBIT,
MPX,,DEBIT,
MPY,,DEBIT,
MRC,,DEBIT,
MRD,,DEBIT,
MRG,,DEBIT,
MRH,,DEBIT,
MRJ,,DEBIT,
MRK,COMMERCIAL,DEBIT,
MRL,COMMERCIAL,DEBIT,
MRW,COMMERCIAL,DEBIT,
MSB,COMMERCIAL,DEBIT,TRUE
MSG,,DEBIT,TRUE
MSI,,DEBIT,TRUE
MSJ,,DEBIT,TRUE
MSM,,DEBIT,TRUE
MSO,,DEBIT,TRUE
MSP,,DEBIT,
MSS,,DEBIT,
MSW,COMMERCIAL,DEBIT,TRUE
MTA,COMMERCIAL,,
MTB,COMMERCIAL,,
MTC,COMMERCIAL,,
MTD,COMMERCIAL,,
MTE,COMMERCIAL,,
MTF,COMMERCIAL,,
MTG,COMMERCIAL,,
MTH,COMMERCIAL,,
MTI,COMMERCIAL,,
MTJ,COMMERCIAL,,
MTK,COMMERCIAL,,
MTL,COMMERCIAL,,
MTM,COMMERCIAL,,
MTN,COMMERCIAL,,
MTO,COMMERCIAL,,
MTP,,DEBIT,
MTQ,COMMERCIAL,,
MTR,COMMERCIAL,,
MTS,COMMERCIAL,,
MTT,COMMERCIAL,,
MTU,COMMERCIAL,,
MTV,COMMERCIAL,,
MUP,,DEBIT,
MUS,,DEBIT,
MWB,COMMERCIAL,,
MWF,,DEBIT,
MWO,COMMERCIAL,,
MWP,,DEBIT,
MXB,COMMERCIAL,,
MXG,,DEBIT,
MXP,,DEBIT,
OLB,,DEBIT,TRUE
OLC,COMMERCIAL,DEBIT,
OLR,,DEBIT,
OLS,,DEBIT,TRUE
PMC,BOTH,,
PMD,BOTH,,
PSC,BOTH,,
PSD,BOTH,,
PVA,BOTH,,
PVB,BOTH,,
PVC,BOTH,,
PVD,BOTH,,
PVE,BOTH,,
PVF,BOTH,,
PVG,BOTH,,
PVH,BOTH,,
PVI,BOTH,,
PVJ,BOTH,,
PVL,BOTH,,
SAP,,DEBIT,
SAS,,DEBIT,
SBP,COMMERCIAL,DEBIT,
SUR,,DEBIT,
TCB,COMMERCIAL,DEBIT,
TCC,,DEBIT,
TCE,,DEBIT,
TCG,,DEBIT,
TCO,COMMERCIAL,DEBIT,
TCS,,DEBIT,
TCW,,DEBIT,
TEB,COMMERCIAL,DEBIT,
TIC,,DEBIT,
TIU,,DEBIT,
TNW,,DEBIT,
TPB,COMMERCIAL,DEBIT,
TPC,COMMERCIAL,DEBIT,
TPL,,DEBIT,
TWB,,DEBIT,
VIS,BOTH,,
WDR,,DEBIT,
WPD,,DEBIT,
