country,jurisdiction,is_micro_state
United Kingdom,DOMESTIC,FALSE
Gibraltar,DOMESTIC,FALSE
Jersey,DOMESTIC,FALSE
Guernsey,DOMESTIC,FALSE
Isle Of Man,DOMESTIC,FALSE
Austria,EUROPE_EEA,FALSE
Belgium,EUROPE_EEA,FALSE
Bulgaria,EUROPE_EEA,FALSE
Croatia,EUROPE_EEA,FALSE
Czech Rep,EUROPE_EEA,FALSE
Cyprus,EUROPE_EEA,FALSE
Denmark,EUROPE_EEA,FALSE
Estonia,EUROPE_EEA,FALSE
Faroe Islands,EUROPE_EEA,FALSE
Finland,EUROPE_EEA,FALSE
France,EUROPE_EEA,FALSE
Germany,EUROPE_EEA,FALSE
Greece,EUROPE_EEA,FALSE
Hungary,EUROPE_EEA,FALSE
Iceland,EUROPE_EEA,FALSE
Ireland,EUROPE_EEA,FALSE
Italy,EUROPE_EEA,FALSE
Latvia,EUROPE_EEA,FALSE
Liechtenstein,EUROPE_EEA,FALSE
Lithuania,EUROPE_EEA,FALSE
Luxembourg,EUROPE_EEA,FALSE
Malta,EUROPE_EEA,FALSE
Netherlands,EUROPE_EEA,FALSE
Norway,EUROPE_EEA,FALSE
Poland,EUROPE_EEA,FALSE
Portugal,EUROPE_EEA,FALSE
Romania,EUROPE_EEA,FALSE
Slovakia,EUROPE_EEA,FALSE
Slovenia,EUROPE_EEA,FALSE
Spain,EUROPE_EEA,FALSE
Sweden,EUROPE_EEA,FALSE
Greenland,EUROPE_EEA,FALSE
Israel,EUROPE_OTHERS,FALSE
Turkey,EUROPE_OTHERS,FALSE
Switzerland,EUROPE_OTHERS,FALSE
Andorra,EUROPE_OTHERS,TRUE
Vatican City,EUROPE_OTHERS,TRUE
San Marino,EUROPE_OTHERS,TRUE
Monaco,EUROPE_OTHERS,TRUE
