id,country_name,eea,eu,sepa,territory_of,mc,visa,microstate,acc_countries_id
1,Austria,1,1,1,NULL,1,0,0,115
2,Belgium,1,1,1,NULL,1,0,0,122
3,Bulgaria,1,1,1,NULL,1,0,0,134
4,Croatia,1,1,1,NULL,1,0,0,155
5,Czech Rep,1,1,1,NULL,1,0,0,158
6,Cyprus,1,1,1,NULL,1,0,0,157
7,Denmark,1,1,1,NULL,1,0,0,159
8,Estonia,1,1,1,NULL,1,0,0,169
9,Finland,1,1,1,NULL,1,0,0,174
10,France,1,1,1,NULL,1,0,0,175
11,Germany,1,1,1,NULL,1,0,0,181
12,Greece,1,1,1,NULL,1,0,0,184
13,Hungary,1,1,1,NULL,1,0,0,197
14,Iceland,1,0,1,NULL,1,0,0,198
15,Ireland,1,1,1,NULL,1,0,0,203
16,Italy,1,1,1,NULL,1,0,0,206
17,Latvia,1,1,1,NULL,1,0,0,219
18,Liechtenstein,1,0,1,NULL,1,0,0,224
19,Lithuania,1,1,1,NULL,1,0,0,225
20,Luxembourg,1,1,1,NULL,1,0,0,226
21,Malta,1,1,1,NULL,1,0,0,234
22,Netherlands,1,1,1,NULL,1,0,0,252
23,Norway,1,0,1,NULL,1,0,0,262
24,Poland,1,1,1,NULL,1,0,0,273
25,Portugal,1,1,1,NULL,1,0,0,274
26,Romania,1,1,1,NULL,1,0,0,278
27,Slovakia,1,1,1,NULL,1,0,0,290
28,Slovenia,1,1,1,NULL,1,0,0,291
29,Spain,1,1,1,NULL,1,0,0,295
30,Sweden,1,1,1,NULL,1,0,0,305
31,Canary Islands,1,1,1,NULL,1,0,0,NULL
32,Ceuta,1,1,1,NULL,1,0,0,NULL
33,Melilla,1,1,1,NULL,1,0,0,NULL
34,Azores,1,1,1,NULL,1,0,0,NULL
35,Madeira,1,1,1,NULL,1,0,0,NULL
36,Aland Islands,1,1,1,102,1,0,0,343
37,Jan Mayen,1,0,1,NULL,1,0,0,352
38,French Guiana,1,1,1,10,1,0,0,176
39,Guadeloupe,1,1,1,10,1,0,0,187
40,Martinique,1,1,1,10,1,0,0,236
41,Reunion,1,1,1,10,1,0,0,277
42,Saint Martin,1,1,1,10,1,0,0,347
43,Mayotte,1,1,1,10,1,0,0,239
44,Andorra,0,0,1,NULL,1,0,0,105
45,Monaco,1,1,1,10,1,0,0,243
46,San Marino,1,1,1,16,1,0,0,282
47,Switzerland,0,0,1,NULL,1,0,0,306
48,Vatican City,1,1,1,16,1,0,0,330
49,Antarctica,0,0,1,NULL,1,0,0,108
50,Greenland,1,1,1,99,1,0,0,185
51,Faroe Islands,1,1,1,99,1,0,0,172
52,Akrotiri and Dhekelia,0,0,1,NULL,1,0,0,NULL
53,Saint Pierre and Miquelon,0,0,1,NULL,1,0,0,300
54,Saint Martin (Dutch),0,0,1,NULL,1,0,0,NULL
55,Svalbard,0,0,1,NULL,1,0,0,352
56,United Kingdom,0,0,1,NULL,1,0,0,324
57,Gibraltar,0,0,1,56,1,0,0,183
58,Falkland Islands,0,0,1,56,1,0,0,171
59,Channel Islands,0,0,1,NULL,1,0,0,NULL
60,Isle of Man,0,0,1,56,1,0,0,204
61,Pitcairn,0,0,1,NULL,1,0,0,272
62,Henderson,0,0,1,NULL,1,0,0,NULL
63,Ducie and Oeno islands,0,0,1,NULL,1,0,0,NULL
64,Saint Helena,0,0,1,56,1,0,0,297
65,Ascension and Tristan da Cunha,0,0,1,NULL,1,0,0,113
66,Sout Georgia,0,0,1,56,1,0,0,NULL
67,South Sandwich Islands,0,0,1,56,1,0,0,NULL
68,Albania,0,0,0,NULL,1,0,0,101
69,Armenia,0,0,0,NULL,1,0,0,111
70,Azerbaijan,0,0,0,NULL,1,0,0,116
71,Belarus,0,0,0,NULL,1,0,0,121
72,Bosnia and Herzegovina,0,0,0,NULL,1,0,0,128
73,Georgia,0,0,0,NULL,1,0,0,180
74,Israel,0,0,0,NULL,1,0,0,205
75,Kazakhstan,0,0,0,NULL,1,0,0,211
76,Kosovo,0,0,0,NULL,1,0,0,NULL
77,Kyrgyzstan,0,0,0,NULL,1,0,0,217
78,Macedonia,0,0,0,NULL,1,0,0,228
79,Moldova,0,0,0,NULL,1,0,0,242
80,Montenegro,0,0,0,NULL,1,0,0,345
81,Russia,0,0,0,NULL,1,0,0,279
82,Serbia,0,0,0,NULL,1,0,0,344
83,Tajikistan,0,0,0,NULL,1,0,0,NULL
84,Turkey,0,0,0,NULL,1,0,0,317
85,Turkmenistan,0,0,0,NULL,1,0,0,318
86,Ukraine,0,0,0,NULL,1,0,0,322
87,Uzbekistan,0,0,0,NULL,1,0,0,328
88,St. Barthelemey,1,1,1,10,1,0,0,346
89,St. Martin,1,1,1,10,1,0,0,347
90,Guernsey,0,0,1,56,1,0,0,190
91,Jersey,0,0,1,56,1,0,0,209
92,Svalbard and Jan Mayen,1,0,1,116,1,0,0,352
93,Austria,1,0,0,NULL,0,1,0,115
94,Belgium,1,0,0,NULL,0,1,0,122
95,Bulgaria,1,0,0,NULL,0,1,0,134
96,Croatia,1,0,0,NULL,0,1,0,155
97,Czech Rep,1,0,0,NULL,0,1,0,158
98,Cyprus,1,0,0,NULL,0,1,0,157
99,Denmark,1,0,0,NULL,0,1,0,159
100,Estonia,1,0,0,NULL,0,1,0,169
101,Faroe Islands,1,0,0,NULL,0,1,0,172
102,Finland,1,0,0,NULL,0,1,0,174
103,France,1,0,0,NULL,0,1,0,175
104,Germany,1,0,0,NULL,0,1,0,181
105,Greece,1,0,0,NULL,0,1,0,184
106,Hungary,1,0,0,NULL,0,1,0,197
107,Iceland,1,0,0,NULL,0,1,0,198
108,Ireland,1,0,0,NULL,0,1,0,203
109,Italy,1,0,0,NULL,0,1,0,206
110,Latvia,1,0,0,NULL,0,1,0,219
111,Liechtenstein,1,0,0,NULL,0,1,0,224
112,Lithuania,1,0,0,NULL,0,1,0,225
113,Luxembourg,1,0,0,NULL,0,1,0,226
114,Malta,1,0,0,NULL,0,1,0,234
115,Netherlands,1,0,0,NULL,0,1,0,252
116,Norway,1,0,0,NULL,0,1,0,262
117,Poland,1,0,0,NULL,0,1,0,273
118,Portugal,1,0,0,NULL,0,1,0,274
119,Romania,1,0,0,NULL,0,1,0,278
120,Slovakia,1,0,0,NULL,0,1,0,290
121,Slovenia,1,0,0,NULL,0,1,0,291
122,Spain,1,0,0,NULL,0,1,0,295
123,Sweden,1,0,0,NULL,0,1,0,305
124,Greenland,1,0,0,NULL,0,1,0,185
125,Israel,0,0,0,NULL,0,1,0,205
126,Turkey,0,0,0,NULL,0,1,0,317
127,Switzerland,0,0,0,NULL,0,1,0,306
128,Andorra,0,0,0,NULL,0,1,1,105
129,Vatican City,0,0,0,NULL,0,1,1,330
130,San Marino,0,0,0,NULL,0,1,1,282
131,Monaco,0,0,0,NULL,0,1,1,243
132,United Kingdom,0,0,0,NULL,0,1,0,324
133,Gibraltar,0,0,0,NULL,0,1,0,183
134,Jersey,0,0,0,NULL,0,1,0,209
135,Guernsey,0,0,0,NULL,0,1,0,190
136,Isle Of Man,0,0,0,NULL,0,1,0,204
